feature_type,model,with_hypertuning,best_params,accuracy,sensitivity,specificity,precision,f1,mcc,index
AAC,LogisticRegression,False,None,0.8750772722882256,0.7918367346938775,0.9015151515151515,0.8818181818181818,0.8344086021505376,0.6993240196387472,AAC_LogisticRegression_no_hypertuning
AAC,SVC,False,None,0.8972085385878488,0.8367346938775511,0.9318181818181818,0.9192825112107623,0.8760683760683761,0.7739685425668851,AAC_SVC_no_hypertuning
AAC,XGBClassifier,False,None,0.8902974983096689,0.8285714285714286,0.928030303030303,0.9144144144144144,0.8693790149892935,0.7623157644459976,AAC_XGBClassifier_no_hypertuning
AAC,LGBMClassifier,False,None,0.8833985318265238,0.8408163265306122,0.9090909090909091,0.8956521739130435,0.8673684210526316,0.7528813340784691,AAC_LGBMClassifier_no_hypertuning
AAC,LogisticRegression,True,"{'C': 0.03277840391147581, 'penalty': 'l1', 'solver': 'liblinear', 'max_iter': 501}",0.8585461689587426,0.8204081632653061,0.8939393939393939,0.8777292576419214,0.8481012658227848,0.7174601974684269,AAC_LogisticRegression_with_hypertuning
AAC,SVC,True,"{'svc_c': 7.554678737818476, 'svc_gamma': 0.020179576154941203}",0.8821218074656189,0.8408163265306122,0.9204545454545454,0.9074889867841409,0.8728813559322034,0.7652207462005997,AAC_SVC_with_hypertuning
AAC,XGBClassifier,True,"{'learning_rate': 0.011048009324978417, 'max_depth': 5, 'n_estimators': 904}",0.8919449901768173,0.8408163265306122,0.9393939393939394,0.9279279279279279,0.8822269807280514,0.7861025959295179,AAC_XGBClassifier_with_hypertuning
AAC,LGBMClassifier,True,"{'num_leaves': 202, 'max_depth': 31, 'learning_rate': 0.02428018983995739, 'n_estimators': 643}",0.888015717092338,0.8408163265306122,0.9318181818181818,0.9196428571428571,0.8784648187633263,0.7777010184278003,AAC_LGBMClassifier_with_hypertuning
APAAC,LogisticRegression,False,None,0.8685168024191583,0.8693877551020408,0.9080459770114943,0.8987341772151899,0.8838174273858921,0.7786035206826,APAAC_LogisticRegression_no_hypertuning
APAAC,SVC,False,None,0.8680168755791835,0.8612244897959184,0.896551724137931,0.8865546218487395,0.8737060041407867,0.7587319793281433,APAAC_SVC_no_hypertuning
APAAC,XGBClassifier,False,None,0.8848339267424279,0.8734693877551021,0.8812260536398467,0.8734693877551021,0.8734693877551021,0.7546954413949488,APAAC_XGBClassifier_no_hypertuning
APAAC,LGBMClassifier,False,None,0.8828366580500415,0.8857142857142857,0.9080459770114943,0.9004149377593361,0.8930041152263375,0.794257255973332,APAAC_LGBMClassifier_no_hypertuning
APAAC,LogisticRegression,True,"{'C': 0.09972241221770178, 'penalty': 'l1', 'solver': 'liblinear', 'max_iter': 978}",0.8932806324110671,0.8857142857142857,0.9003831417624522,0.8930041152263375,0.889344262295082,0.7863188010174474,APAAC_LogisticRegression_with_hypertuning
APAAC,SVC,True,"{'svc_c': 81.00794411499099, 'svc_gamma': 0.03264730820833686}",0.8596837944664032,0.8693877551020408,0.8505747126436781,0.8452380952380952,0.8571428571428572,0.7196080682815942,APAAC_SVC_with_hypertuning
APAAC,XGBClassifier,True,"{'learning_rate': 0.21557448587004335, 'max_depth': 3, 'n_estimators': 181}",0.8913043478260869,0.8857142857142857,0.896551724137931,0.889344262295082,0.8875255623721882,0.7823700146559445,APAAC_XGBClassifier_with_hypertuning
APAAC,LGBMClassifier,True,"{'num_leaves': 2, 'max_depth': 43, 'learning_rate': 0.19843286175570002, 'n_estimators': 622}",0.8932806324110671,0.889795918367347,0.896551724137931,0.889795918367347,0.889795918367347,0.786347642505278,APAAC_LGBMClassifier_with_hypertuning
CTD,LogisticRegression,False,None,0.8627644161112722,0.8693877551020408,0.8674242424242424,0.8588709677419355,0.8640973630831643,0.7365387499746925,CTD_LogisticRegression_no_hypertuning
CTD,SVC,False,None,0.8465637979329663,0.8367346938775511,0.875,0.8613445378151261,0.8488612836438925,0.7127381704368788,CTD_SVC_no_hypertuning
CTD,XGBClassifier,False,None,0.8534096397179562,0.8448979591836735,0.8863636363636364,0.8734177215189873,0.8589211618257261,0.7324856928162584,CTD_XGBClassifier_no_hypertuning
CTD,LGBMClassifier,False,None,0.8514440258862166,0.8530612244897959,0.8939393939393939,0.8818565400843882,0.867219917012448,0.7482510620768392,CTD_LGBMClassifier_no_hypertuning
CTD,LogisticRegression,True,"{'C': 0.0906600851039587, 'penalty': 'l2', 'solver': 'saga', 'max_iter': 611}",0.8703339882121808,0.8816326530612245,0.8598484848484849,0.8537549407114624,0.8674698795180723,0.7409772430924835,CTD_LogisticRegression_with_hypertuning
CTD,SVC,True,"{'svc_c': 93.52276100739736, 'svc_gamma': 0.012484331700783002}",0.8546168958742633,0.8285714285714286,0.8787878787878788,0.8638297872340426,0.8458333333333334,0.7089504220253605,CTD_SVC_with_hypertuning
CTD,XGBClassifier,True,"{'learning_rate': 0.06876980973052808, 'max_depth': 6, 'n_estimators': 360}",0.888015717092338,0.8653061224489796,0.9090909090909091,0.8983050847457628,0.8814968814968817,0.77591001969324,CTD_XGBClassifier_with_hypertuning
CTD,LGBMClassifier,True,"{'num_leaves': 143, 'max_depth': 4, 'learning_rate': 0.04113347255836544, 'n_estimators': 513}",0.8821218074656189,0.8653061224489796,0.8977272727272727,0.8870292887029289,0.8760330578512396,0.7639197160641708,CTD_LGBMClassifier_with_hypertuning
DPC,LogisticRegression,False,None,0.8302979812614701,0.8612244897959184,0.875,0.8647540983606558,0.8629856850715747,0.7363383418788376,DPC_LogisticRegression_no_hypertuning
